,Actual size,Exposure,Maintenance fees,Possession,Age of building,Outdoor space,Price/sqm,Locker,Heating type:,Parking type:,Property type:,Area:,Ensuite laundry:,Parking:,Corp #:,Size:,Show all,Bed,Bath,Parking,price,Broker,MLS Number,address,amenities,included_in_maintenance_fees
0,657,N,$554.10 ,Immediate,19 years old,Open Balcony,"$9,834 ",None,Heat Pump,Underground,Condo Apt,King West,Yes,No,TSCC-1441,56-65 sqm, details,1+1,1,0,"$599,900 ","ROYAL LEPAGE TERREQUITY REALTY, BROKERAGE",C5394783,323 - 270 Wellington St W,"Concierge, Guest Suites, Gym, Party Room, Rooftop Deck, Visitor Parking, Public Transit, Parking Garage","Heat, Water, Air Conditioning, Common Element, Hydro, Building Insurance, Parking"
0,678,E,$506.21 ,Tba,16 years old,Open Balcony,"$10,603 ",Owned,Forced Air,Underground,Condo Apt,Willowdale East,Yes,Yes,TSCC-1677,56-65 sqm, details,1+1,1,1,"$668,000 ","HOMELIFE LANDMARK REALTY INC., BROKERAGE",C5393463,2313 - 10 Northtown Way,"Concierge, Gym, Indoor Pool, Party Room, Sauna, Visitor Parking, Public Transit, Guest Suites","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,1056,NE,"$1,041.51 ",30/60/Tbd,24 years old,Juliet Balcony,"$7,847 ",Exclusive,Forced Air,Underground,Comm Element Condo,Church St. Corridor,Yes,No,MTCC-1147,93-111 sqm, details,2,2,0,"$769,000 ","CHESTNUT PARK REAL ESTATE LIMITED, BROKERAGE",C5392698,602 - 8 Wellesley St,"Bike Storage, Concierge, Gym, Party Room, Rooftop Deck, Security Guard, Public Transit, BBQ Permitted","Water, Common Element, Building Insurance"
0,835,SW,$649.89 ,60/ Tba,9 years old,Open Balcony,"$8,321 ",Owned,Forced Air,Underground,Condo Apt,Islington | City Centre West,Yes,Yes,TSCC-2226,74-84 sqm, details,2,2,NA,"$649,000 ","CENTURY 21 PEOPLE`S CHOICE REALTY INC., BROKERAGE",W5392788,708 - 3 Michael Power Pl,"Concierge, Party Room, Visitor Parking, Media Room, Meeting Room, Parking Garage, Pet Restriction, Sauna","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,805,S,$888.47 ,Tbd,16 years old,Open Balcony,"$9,985 ",Owned,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,Yes,TSCC-1653,74-84 sqm, details,2+1,2,NA,"$748,888 ","RE/MAX WEST REALTY INC., BROKERAGE",C5392591,1706 - 220 Victoria St,"Rooftop Deck, Concierge, Public Transit, Party Room, Visitor Parking, Elevator, Media Room, Meeting Room","Heat, Water, Hydro, Air Conditioning, Common Element, Building Insurance"
0,600-699,S,$540.65 ,Immediate,-,Open Balcony,"$10,492 - $12,179",Owned,Forced Air,Underground,Condo Apt,O'Connor-Parkview,Yes,Yes,TSCC-2867,56-65 sqm, details,2,2,1,"$682,000 ","RE/MAX WEST VICKY HSU GROUP REALTY, BROKERAGE",E5392527,202 - 1401 O'connor Dr,"Concierge, Guest Suites, Gym, Party Room, Rec Room, Rooftop Deck, BBQ Permitted, Bowling Valley","Heat, Water, Common Element, Building Insurance"
0,579,E,$454.59 ,Tba,5 years old,Juliet Balcony,"$12,944 ",Exclusive,Forced Air,Underground,Condo Apt,The Core,Yes,No,TSCC-2510,46-56 sqm, details,1+1,1,0,"$699,000 ","RE/MAX REALTRON REALTY INC., BROKERAGE",C5392468,6012 - 14 York St,"Rooftop Deck, Concierge, Public Transit, Party Room, Jacuzzi, Meeting Room, Pet Restriction, Sauna","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,468,N,$322.29 ,2021-12-01 0:00,6 years old,Open Balcony,"$11,605 ",Owned,Forced Air,Underground,Condo Apt,Yonge-Eglinton,Yes,No,TSCC-2459,0-46 sqm, details,Studio,1,0,"$499,000 ","FOREST HILL REAL ESTATE INC., BROKERAGE",C5392415,421 - 23 Glebe Rd W,"Concierge, Guest Suites, Gym, Party Room, Rooftop Deck, Visitor Parking, BBQ Permitted, Media Room","Heat, Air Conditioning, Common Element, Building Insurance, Parking"
0,1056,NE,$781.52 ,Flexible,24 years old,None,"$8,061 ",Owned,Forced Air,Underground,Condo Apt,Woburn,Yes,2,MTCC-1143,93-111 sqm, details,2+1,2,NA,"$790,000 ","HOMELIFE LANDMARK REALTY INC., BROKERAGE",E5393676,3026 - 68 Corporate Dr,"Gym, Indoor Pool, Outdoor Pool, Party Room, Squash Court, Public Transit, Parking Garage, Pet Restriction","Heat, Water, Hydro, Air Conditioning, Common Element, Building Insurance"
0,691,E,$418.37 ,Tba,1 years old,Open Balcony,"$8,905 ",Owned,Forced Air,Underground,Condo Apt,Woburn,Yes,Yes,TSCC-2808,65-74 sqm, details,1+1,2,NA,"$569,901 ","WORLD CLASS REALTY POINT, BROKERAGE",E5393387,816 - 30 Meadowglen Pl,"Rooftop Deck, Concierge, Party Room, BBQ Permitted, Bike Storage, Guest Suites, Jacuzzi, Media Room","Water, Common Element, Building Insurance, Air Conditioning, Heat"
0,838,W,$529.46 ,Tenant,11 years old,None,"$10,115 ",Owned,Forced Air,Underground,Condo Apt,King West,Yes,No,TSCC-2102,74-84 sqm, details,1+1,1,NA,"$789,000 ","BERKSHIRE HATHAWAY HOMESERVICES TORONTO REALTY, BROKERAGE",C5394446,214 - 75 Portland St,"Gym, Rec Room, Rooftop Deck, Security Guard, Visitor Parking, Concierge, BBQ Permitted, Enter Phone System","Heat, Water, Common Element, Air Conditioning, Building Insurance"
0,1000-1199,N,$451.00 ,Tbd,42 years old,Open Balcony,"$4,053 - $4,838",Exclusive,Forced Air,Underground,Condo Townhouse,Rexdale | Kipling,Yes,Yes,YCC-478,93-111 sqm, details,3,2,NA,"$449,900 ","THE GUARDIAN HOME REALTY INC., BROKERAGE",W5394637,16 - 28 Rexdale Blvd,"BBQ Permitted, Visitor Parking",Water
0,841,W,$663.00 ,Tba,8 years old,Open Balcony,"$10,359 ",None,Forced Air,Underground,Condo Apt,CityPlace,Yes,Yes,TSCC-2301,74-84 sqm, details,2,2,1,"$808,000 ","ROYAL LEPAGE PEACELAND REALTY, BROKERAGE",C5393708,615 - 151 Dan Leckie Way,"Concierge, Gym, Games Room, Indoor Pool, Party Room, Visitor Parking, Beanfield Fibre Available, Guest Suites","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,755,SE,$619.40 ,On/After Dec 1,11 years old,Open Balcony,"$11,141 ",Owned,Forced Air,Underground,Condo Apt,Liberty Village,Yes,Yes,TSCC-2119,65-74 sqm, details,2,1,NA,"$779,900 ","GREEN HEDGE REALTY INC., BROKERAGE",C5393695,509 - 100 Western Battery Rd,"Concierge, Gym, Guest Suites, Indoor Pool, Party Room, Visitor Parking, Beanfield Fibre Available, Media Room","Heat, Water, Common Element, Building Insurance, Parking, Air Conditioning"
0,1800-1999,SW,"$1,675.00 ",November,45 years old,Open Balcony,"$4,435 - $4,940",Ensuite,Forced Air,Underground,Condo Apt,Markland Wood,Yes,Yes,YCC-266,167-186 sqm, details,3,3,NA,"$825,000 ","ROYAL LEPAGE MAXIMUM REALTY, BROKERAGE",W5393744,C6 - 296 Mill Rd,"BBQ Permitted, Car Wash, Pet Restriction, Sauna, Security Guard, Security System, Squash Court, Tennis Court","Heat, Water, Hydro, Cable TV, Air Conditioning, Common Element, Building Insurance, Parking"
0,900-999,N,$700.00 ,Immed,0 years old,Terrace,"$16,117 - $17,844",Owned,Forced Air,Underground,Condo Apt,Yorkville,Yes,Yes,TSCC-2842,84-93 sqm, details,2,2,1,"$1,498,888 ","RE/MAX WEST REALTY INC., BROKERAGE",C5394727,LPH06 - 1 Yorkville Ave,"Rooftop Deck, Concierge, Public Transit, Party Room, Visitor Parking, BBQ Permitted, Bike Storage, Business Centre (WiFi)","Air Conditioning, Common Element, Heat, Building Insurance, Water"
0,1300,SE,"$1,080.98 ",Immediate,45 years old,Open Balcony,"$5,669 ",Exclusive,Forced Air,Underground,Condo Apt,Parkwoods-Donalda,Yes,2,YCC-274,93-111 sqm, details,2+1,2,2,"$686,000 ","SUTTON GROUP-ADMIRAL REALTY INC., BROKERAGE",C5394248,PH01 - 75 Graydon Hall Dr,"Concierge, Gym, Party Room, Sauna, Visitor Parking, Meeting Room, Pet Restriction, Security Guard","Heat, Water, Hydro, Cable TV, Air Conditioning, Common Element, Building Insurance, Parking"
0,500-599,E,$556.57 ,30/60/90,38 years old,Open Balcony,"$8,714 - $10,609",None,Forced Air,Underground,Condo Apt,Grange Park,No,No,MTCC-607,46-56 sqm, details,1,1,0,"$488,000 ","HH HOMES REALTY, BROKERAGE",C5394662,PH 1411 - 120 St Patrick St,"Games Room, Gym, Outdoor Pool, Party Room, Sauna, Security Guard, Pets, Public Transit","Heat, Water, Hydro, Cable TV, Air Conditioning, Common Element, Building Insurance"
0,590,SW,$443.78 ,Immediately,8 years old,Open Balcony,"$12,345 ",Owned,Forced Air,Underground,Condo Apt,Mimico,Yes,Yes,TSCC-2288,56-65 sqm, details,1+1,1,1,"$679,000 ","PROPERTY.CA INC., BROKERAGE",W5393748,2803 - 90 Park Lawn Rd,"Concierge, Gym, Indoor Pool, Outdoor Pool, Party Room, Visitor Parking, Pets, Rooftop Deck","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,650,SE,$678.73 ,Flex,10 years old,Open Balcony,"$10,248 ",Owned,Forced Air,Underground,Condo Apt,Mimico,Yes,2,TSCC-2153,56-65 sqm, details,1+1,1,2,"$614,900 ","COLDWELL BANKER 2M REALTY, BROKERAGE",W5391337,2202 - 155 Legion Rd N,"Concierge, Gym, Outdoor Pool, Party Room, Squash Court, Visitor Parking, Guest Suites, Meeting Room","Heat, Water, Common Element, Building Insurance, Parking, Air Conditioning"
0,3661,SW,"$2,800.00 ",Immediate/Tba,0 years old,Open Balcony,"$21,176 ",Owned,Forced Air,Underground,Condo Apt,Yorkville,Yes,4,TSCC-2842,348-372 sqm, details,2+2,3,4,"$7,200,000 ","RE/MAX REALTY SPECIALISTS INC., BROKERAGE",C5391447,5101 - 1 Yorkville Ave,"Concierge, Gym, Guest Suites, Indoor Pool, Party Room, Rooftop Deck, Public Transit, Visitor Parking","Air Conditioning, Common Element, Heat, Building Insurance, Water"
0,665,N,$673.80 ,Negotiable,30 years old,None,"$9,984 ",Exclusive,Forced Air,Underground,Condo Apt,Annex - U of T,Yes,No,MTCC-946,56-65 sqm, details,1+1,1,0,"$619,000 ","BOSLEY REAL ESTATE LTD., BROKERAGE",C5391726,603 - 284 Bloor St W,"Gym, Party Room, Rec Room, Rooftop Deck, Meeting Room, Parking Garage, Pet Restriction, Security System","Heat, Water, Hydro, Air Conditioning, Common Element, Building Insurance, Parking"
0,1787,NE,"$1,384.39 ",Immediate/Tba,0 years old,Open Balcony,"$21,386 ",Owned,Forced Air,Underground,Condo Apt,Yorkville,Yes,2,TSCC-2842,130-149 sqm, details,2+1,3,2,"$3,550,000 ","RE/MAX REALTY SPECIALISTS INC., BROKERAGE",C5391443,5103 - 1 Yorkville Ave,"Concierge, Gym, Outdoor Pool, Rooftop Deck, Public Transit, Party Room, Visitor Parking, BBQ Permitted","Air Conditioning, Common Element, Heat, Building Insurance, Water"
0,1893,NW,"$1,453.28 ",Tba,0 years old,Open Balcony,"$21,307 ",Owned,Forced Air,Underground,Condo Apt,Yorkville,Yes,2,TSCC-2842,167-186 sqm, details,2+1,3,2,"$3,750,000 ","RE/MAX REALTY SPECIALISTS INC., BROKERAGE",C5391451,5102 - 1 Yorkville Ave,"Concierge, Gym, Outdoor Pool, Party Room, Rec Room, Rooftop Deck, Public Transit, Visitor Parking","Air Conditioning, Common Element, Heat, Building Insurance, Water"
0,1454,SW,"$1,850.00 ",2021-10-25 0:00,35 years old,None,"$9,851 ",Exclusive,Heat Pump,Underground,Condo Apt,Rosedale-Moore Park,Yes,Yes,MTCC-699,130-149 sqm, details,2,2,1,"$1,329,900 ","HOMELIFE/BAYVIEW REALTY INC., BROKERAGE",C5391666,418 - 1177 Yonge St,"Security Guard, Security System, Rec Room, Gym, Sauna, Tennis Court, Public Transit, Parking Garage","Water, Cable TV, Common Element, Building Insurance, Parking"
0,1576,NW,"$1,627.05 ",60,35 years old,Juliet Balcony,"$11,301 ",Exclusive,Forced Air,Underground,Condo Apt,Stonegate-Queensway,Yes,2,MTCC-1303,149-167 sqm, details,2+1,2,2,"$1,649,900 ","RE/MAX HALLMARK BIBBY GROUP REALTY, BROKERAGE",W5391436,PH603 - 935 Royal York Rd,"Party Room, Rooftop Deck, Security System, Visitor Parking, Public Transit, Elevator, Meeting Room, Parking Garage","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,470,NE,$307.16 ,Tbd,1 years old,Open Balcony,"$12,932 ",None,Forced Air,NA,Condo Apt,St. Lawrence,Yes,No,TSCC-2784,46-56 sqm, details,1,1,NA,"$569,000 ","HOMELIFE/MIRACLE REALTY LTD, BROKERAGE",C5392964,1905 - 120 Parliament St,"Gym, Rooftop Deck, Concierge, Party Room, Bike Storage, Games Room, Media Room, Meeting Room","Heat, Water, Air Conditioning, Building Insurance, Common Element"
0,491,S,$426.31 ,Flex,5 years old,Open Balcony,"$12,065 ",None,Forced Air,Underground,Condo Apt,Yonge-Eglinton,Yes,No,TSCC-2513,0-46 sqm, details,1,1,NA,"$555,000 ","RE/MAX WEALTH BUILDERS REAL ESTATE, BROKERAGE",C5391757,1108 - 58 Orchard View Blvd,"Concierge, Gym, Guest Suites, Party Room, Rooftop Deck, Visitor Parking, BBQ Permitted, Media Room","Water, Air Conditioning, Common Element, Heat, Building Insurance, Parking"
0,630,N,$423.00 ,30/60/90,12 years old,Open Balcony,"$13,542 ",Owned,Forced Air,Underground,Condo Apt,King West,Yes,Yes,TSCC-1948,56-65 sqm, details,1,1,1,"$799,000 ","HOUSESIGMA INC., BROKERAGE",C5392266,502 - 10 Morrison St,"Party Room, BBQ Permitted, Parking Garage, Pet Restriction, Security System, Visitor Parking, Beanfield Fibre Available","Water, Common Element, Air Conditioning, Building Insurance"
0,582,W,$345.00 ,Immediate/Tba,8 years old,Open Balcony,"$12,406 ",None,Forced Air,Underground,Condo Apt,King West,Yes,No,TSCC-2338,46-56 sqm, details,1+1,1,NA,"$669,900 ","FOREST HILL REAL ESTATE INC., BROKERAGE",C5391850,3702 - 300 Front St,"BBQ Permitted, Concierge, Gym, Jacuzzi, Media Room, Outdoor Patio, Party Room, Pets","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,1329,S,"$1,202.00 ",Tba,15 years old,Open Balcony,"$7,553 ",Exclusive,Forced Air,Underground,Condo Apt,East End-Danforth,Yes,Yes,TSCC-1748,111-130 sqm, details,2,2,NA,"$929,000 ","BERKSHIRE HATHAWAY HOMESERVICES TORONTO REALTY, BROKERAGE",E5391507,404 - 1 Lawlor Ave,"Public Transit, BBQ Permitted, Elevator, Parking Garage, Security System","Water, Common Element, Heat, Building Insurance, Parking"
0,720,W,$375.81 ,60/90 Days/Tba,18 years old,None,"$8,791 ",Owned,Forced Air,Underground,Condo Townhouse,Yorkdale | Glen Park,Yes,Yes,TSCC-1513,65-74 sqm, details,2,1,NA,"$589,000 ","ROYAL LEPAGE YOUR COMMUNITY REALTY, BROKERAGE",W5391572,239 - 760 Lawrence Ave W,"Rooftop Deck, Visitor Parking, BBQ Permitted, Bike Storage, Outdoor Patio","Water, Common Element, Building Insurance, Parking"
0,499,S,$400.00 ,30/60/Tba,New,Terrace,NA,Owned,Heat Pump,Underground,Condo Apt,Willowdale West,Yes,Yes,,0-46 sqm, details,1,1,NA,"$599,000 ","ATELIER REALTY, BROKERAGE",C5393558,306 - 75 Canterbury Pl,"Concierge, Guest Suites, Gym, Media Room, Party Room, Rooftop Deck, BBQ Permitted, Yoga Studio","Common Element, Building Insurance, Water"
0,933,S,$596.89 ,30-60 Days,18 years old,Open Balcony,"$7,459 ",Owned,Forced Air,Underground,Condo Apt,Eringate | Centennial | West Deane,Yes,Yes,TSCC-1493,84-93 sqm, details,2,2,NA,"$648,900 ","ROYAL LEPAGE SIGNATURE REALTY, BROKERAGE",W5392199,908 - 350 Mill Rd,"Gym, Guest Suites, Indoor Pool, Sauna, Security System, Visitor Parking, Public Transit, Party Room","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,661,N,$520.83 ,Asap,7 years old,Open Balcony,"$12,590 ",None,Forced Air,Underground,Condo Apt,King West,Yes,No,TSCC-2341,56-65 sqm, details,1+1,1,0,"$768,000 ","HOMELIFE BROADWAY REALTY INC., BROKERAGE",C5392192,1304 - 21 Widmer St,"Bike Storage, Concierge, Gym, Party Room, Rooftop Deck, Basketball Court, BBQ Permitted, Beanfield Fibre Available","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,751,NW,$591.53 ,Flexible,12 years old,Juliet Balcony,"$10,686 ",Owned,Forced Air,Underground,Condo Apt,Distillery District,Yes,Yes,TSCC-2012,65-74 sqm, details,1+1,1,NA,"$748,000 ","KELLER WILLIAMS REFERRED REALTY, BROKERAGE",C5393456,404 - 33 Mill St,"Guest Suites, Gym, Media Room, Outdoor Pool, Party Room, Rooftop Deck, BBQ Permitted, Visitor Parking","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,980,SE,$811.48 ,Immediate,15 years old,None,"$10,527 ",Owned,Forced Air,Underground,Condo Apt,Bay St. Corridor,Yes,Yes,TSCC-1781,84-93 sqm, details,2,2,1,"$958,000 ","TRADEWORLD REALTY INC, BROKERAGE",C5392089,1612 - 11 St Joseph St,"BBQ Permitted, Concierge, Gym, Party Room, Rooftop Deck, Visitor Parking, Public Transit, Elevator","Heat, Water, Hydro, Air Conditioning, Common Element, Building Insurance, Parking"
0,660,SE,$365.54 ,60-90,7 years old,Open Balcony,"$9,754 ",None,Forced Air,Underground,Condo Apt,Englemount | Lawrence,Yes,Yes,TSCC-2395,56-65 sqm, details,1+1,1,1,"$595,000 ","KELLER WILLIAMS REFERRED URBAN REALTY, BROKERAGE",C5393431,919 - 35 Saranac Blvd,"Bike Storage, Gym, Party Room, Rec Room, Rooftop Deck, Visitor Parking, Security System, FibreStream Internet","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,500-599,W,$0.54 ,Spring 2022,New,Open Balcony,"$12,498 - $15,215",Owned,Forced Air,Underground,Condo Apt,Mimico,Yes,Yes,,46-56 sqm, details,1+1,1,1,"$699,900 ","TFN REALTY INC., BROKERAGE",W5392078,817 - 251 Manitoba St,"Business Centre (WiFi), Concierge, Gym, Outdoor Pool, Rooftop Deck, Visitor Parking, BBQ Permitted, Concierge",Heat
0,810,S,$561.52 ,Tbd,19 years old,Open Balcony,"$10,733 ",Owned,Forced Air,Underground,Condo Apt,King West,Yes,Yes,TSCC-1445,74-84 sqm, details,1+1,1,1,"$805,000 ","BRAD J. LAMB REALTY INC., BROKERAGE",C5392134,402 - 1029 King St W,"Gym, Media Room, Party Room, Security System, Visitor Parking, BBQ Permitted, Beanfield Fibre Available, Meeting Room","Heat, Water, Hydro, Air Conditioning, Common Element, Building Insurance, Parking"
0,1200-1399,SE,"$1,643.29 ",30-60 Days,3 years old,Open Balcony,"$13,038 - $15,270",Owned,Heat Pump,Underground,Condo Apt,Yorkville,Yes,Yes,TSCC-2752,111-130 sqm, details,2,2,1,"$1,695,000 ","ROYAL LEPAGE REAL ESTATE SERVICES HEAPS ESTRIN TEAM, BROKERAGE",C5391698,705 - 128 Pears Ave,"BBQ Permitted, Concierge, Guest Suites, Party Room, Security System, Visitor Parking, Meeting Room, Outdoor Patio","Common Element, Building Insurance"
0,633,N,$573.30 ,Tbd,11 years old,Enclosed Balcony,"$12,000 ",Owned,Forced Air,Underground,Condo Apt,Yonge and Bloor,Yes,Yes,TSCC-2094,56-65 sqm, details,1+1,1,NA,"$708,000 ","RIGHT AT HOME REALTY INC., BROKERAGE",C5391894,510 - 35 Hayden St,"Concierge, Gym, Guest Suites, Indoor Pool, Party Room, Beanfield Fibre Available, Meeting Room, Parking Garage","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,700-799,SE,$604.26 ,2021-10-20 0:00,0-5 years old,Open Balcony,"$10,811 - $12,308",Owned,Forced Air,Underground,Condo Apt,Mimico,Yes,Yes,TSCC-2745,65-74 sqm, details,2,2,1,"$799,990 ","TFN REALTY INC., BROKERAGE",W5393559,M6 - 20 Shore Breeze Dr,"Concierge, Gym, Indoor Pool, Party Room, Rooftop Deck",Heat
0,499,NE,$441.79 ,2021-10-27 0:00,0-5 years old,Open Balcony,NA,Owned,Forced Air,Underground,Condo Apt,Mimico,Yes,Yes,TSCC-2745,0-46 sqm, details,1,1,NA,"$598,888 ","RE/MAX WEST REALTY INC., BROKERAGE",W5392564,2015 - 30 Shore Breeze Dr,"Concierge, Gym, Indoor Pool, Party Room, Visitor Parking, Rooftop Deck, Jacuzzi, Media Room","Heat, Water, Common Element, Building Insurance, Air Conditioning"
0,1182,NW,$962.99 ,Immd/Tba,15 years old,Terrace,"$8,181 ",Owned,Forced Air,Underground,Condo Apt,Willowdale East,Yes,Yes,TSCC-1738,111-130 sqm, details,2,2,NA,"$899,900 ","FOREST HILL REAL ESTATE INC., BROKERAGE",C5392853,PH 202 - 23 Hollywood Ave,"Concierge, Guest Suites, Gym, Indoor Pool, Party Room, Visitor Parking, Public Transit, Elevator","Heat, Water, Hydro, Air Conditioning, Common Element, Building Insurance"
0,1000-1199,S,$609.20 ,Immed/Tba,-,Open Balcony,"$3,595 - $4,290",None,Radiant,Underground,Co-Ownership Apt,Glenfield-Jane Heights,Yes,Yes,TCRC,93-111 sqm, details,2,1,1,"$399,000 ","HOMELIFE CLASSIC REALTY INC., BROKERAGE",W5393269,411 - 235 Grandravine Dr,"Gym, Indoor Pool, Sauna, Security System, Tennis Court, Visitor Parking","Heat, Water, Hydro"
0,1088,N,$854.39 ,Tba,44 years old,Open Balcony,"$4,931 ",None,Baseboard,Owned,Condo Apt,L'Amoreaux,Yes,Yes,YCC-307,93-111 sqm, details,2+1,2,NA,"$498,000 ","FIRST CLASS REALTY INC., BROKERAGE",E5393571,1109 - 1250 Bridletowne Circ,"Gym, Party Room, Sauna, Visitor Parking, Parking Garage, Pet Restriction, Security System, Tennis Court","Heat, Water, Hydro, Cable TV, Common Element, Building Insurance, Parking, Air Conditioning"
0,720,SW,$709.96 ,30/60/Flex,10 years old,Open Balcony,"$9,103 ",Owned,Forced Air,Underground,Comm Element Condo,Mimico,Yes,Yes,TSCC-2153,65-74 sqm, details,1,2,1,"$609,888 ","RIGHT AT HOME REALTY INC., BROKERAGE",W5393155,1107 - 155 Legion Road North Rd,"Gym, Guest Suites, Outdoor Pool, Rooftop Deck, Sauna, Visitor Parking, Concierge, Meeting Room","Heat, Water, Common Element, Building Insurance, Parking, Air Conditioning"
0,463,N,$261.93 ,Immed,6 years old,Open Balcony,"$12,088 ",None,Forced Air,NA,Condo Apt,King West,Yes,No,TSCC-2460,0-46 sqm, details,Studio,1,0,"$519,800 ","HOMELIFE/RESPONSE REALTY INC., BROKERAGE",C5392999,302 - 8 Mercer St,"Concierge, Gym, Rooftop Deck, Visitor Parking, Beanfield Fibre Available, FibreStream Internet, Media Room, Meeting Room","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,970,N,$854.52 ,30-60/Tba,15 years old,Open Balcony,"$9,999 ",Owned,Forced Air,Underground,Condo Apt,The Beaches,Yes,Yes,TSCC-1777,84-93 sqm, details,2+1,2,NA,"$899,900 ","ROYAL LEPAGE SIGNATURE REALTY, BROKERAGE",E5392451,511 - 1863 Queen St E,"BBQ Permitted, Gym, Party Room, Security System, Visitor Parking, Public Transit, Elevator, Meeting Room","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,565,N,$410.18 ,60 Days,12 years old,Open Balcony,"$12,865 ",Owned,Fan Coil,Underground,Condo Apt,The Waterfront,Yes,Yes,TSCC-2030,46-56 sqm, details,1+1,1,NA,"$669,000 ","RE/MAX ACE REALTY INC., BROKERAGE",C5393048,1003 - 18 Harbour St,"Basketball Court, BBQ Permitted, Beanfield Fibre Available, Bike Storage, Business Centre (WiFi), Concierge, Guest Suites, Indoor Child Play Area","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,700,N,$820.99 ,Tba,30 years old,None,"$9,215 ",None,Forced Air,Underground,Condo Apt,Bay St. Corridor,Yes,Yes,MTCC-943,65-74 sqm, details,1+1,1,1,"$599,000 ","CENTURY 21 LANDUNION REALTY INC., BROKERAGE",C5393503,LPH1 - 25 Grenville St,"Concierge, Party Room, Sauna, Squash Court, Visitor Parking, Parking Garage, Pet Restriction, Security Guard","Heat, Water, Hydro, Cable TV, Air Conditioning, Common Element, Building Insurance"
0,916,NE,$544.32 ,30 Days Tbd,4 years old,Open Balcony,"$13,235 ",Exclusive,Heat Pump,Underground,Condo Apt,King West,Yes,Yes,TSCC-2553,84-93 sqm, details,2,2,1,"$1,125,000 ","SAGE REAL ESTATE LIMITED, BROKERAGE",C5393264,414 - 111 Bathurst St,"BBQ Permitted, Bike Storage, Concierge, Guest Suites, Party Room, Security Guard, Beanfield Fibre Available, Media Room","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,816,SW,$615.35 ,30/60 Days,7 years old,Open Balcony,"$10,500 ",Owned,Forced Air,Underground,Condo Apt,Willowdale East,Yes,Yes,TSCC-2369,74-84 sqm, details,2,2,NA,"$798,000 ","SUTTON GROUP-ADMIRAL REALTY INC., BROKERAGE",C5393233,909 - 120 Harrison Garden Blvd,"BBQ Permitted, Concierge, Gym, Party Room, Rooftop Deck, Sauna, Public Transit, Visitor Parking","Water, Common Element, Building Insurance, Parking"
0,500-599,E,$0.00 ,Immediate,New,Open Balcony,"$9,821 - $11,957",Owned,Forced Air,Underground,Condo Apt,Tam O'Shanter | Sullivan,Yes,Yes,,46-56 sqm, details,1,1,1,"$550,000 ","HOMELIFE/MIRACLE REALTY LTD, BROKERAGE",E5393279,1306 - 3220 Sheppard Ave,"Guest Suites, Gym, Indoor Child Play Area, Library, Meeting Room, Outdoor Patio, Party Room, Spa",Heat
0,730,NW,$813.00 ,Jan-22,14 years old,Open Balcony,"$10,734 ",None,Forced Air,Underground,Condo Apt,Yonge-St. Clair,Yes,Yes,TSCC-1845,65-74 sqm, details,2,1,NA,"$729,900 ","T.O. CONDOS REALTY INC., BROKERAGE",C5393113,1202 - 60 St Clair St W,"Concierge, Gym, Guest Suites, Party Room, Security Guard, Visitor Parking, Meeting Room, Parking Garage","Heat, Air Conditioning, Common Element, Building Insurance, Water"
0,668,W,$380.85 ,Immed,4 years old,Terrace,"$11,597 ",Owned,Forced Air,NA,Condo Apt,King West,Yes,No,TSCC-2593,56-65 sqm, details,1+1,2,0,"$719,000 ","LIVING REALTY INC., BROKERAGE",C5392542,232 - 525 Adelaide St W,"Concierge, Gym, Pool, Media Room, Party Room, Sauna, Rooftop Deck, Guest Suites","Heat, Common Element, Building Insurance, Parking, Air Conditioning, Water"
0,1505,NE,"$1,270.95 ",Tba,38 years old,Open Balcony,"$10,707 ",Exclusive,Forced Air,Underground,Condo Apt,Rosedale-Moore Park,Yes,Yes,MTCC-614,130-149 sqm, details,2,2,1,"$1,499,000 ","REALCAN GROUP INC., BROKERAGE",C5392986,#2104 - 278 Bloor St E,"Concierge, Gym, Indoor Pool, Sauna, Visitor Parking, Public Transit, Parking Garage, Pet Restriction","Heat, Water, Cable TV, Air Conditioning, Common Element, Building Insurance"
